Sector,Dimension/ Learning Area,Vice Principal (Admin) [VP(A)],Adminstrative Manager [AM],Operation Manager [OM],Assistant Operation Manager/SLT [Assistant OM/SLT],ICT Manager,Cluster ICT Manager,STEM Instructor (Workshop),STEM Instructor (Laboratory),Corporate Support Officer [CSO],Admin Executive [AE],Technical Support Officer (Audio Visual) [TSO (AV)],Operation Support Officer [OSO]
Procurement Management,Procurement Policy/Plans,"Maintains an overall view of the procurement policies and governance to ensure proper planning and implementation of procurement plan, in compliance with relevant policies and procedures
?
Reviews effectiveness of procurement control and compliance measures, identifies gaps in the procurement competencies of staff, and drives targeted development and knowledge sharing to develop the competencies","Assesses completeness of procurement data to assess school's purchasing requirements and engages school stakeholders to identify additional information required to support development of procurement plan

Performs risk analysis for planning of non-complex purchasing requirements to anticipate potential issues (e.g. governance, compliance)

Provides advice and coaching to colleagues on procurement processes and policies","Understands the procurement policies and processes, and oneÅfs own role in procurement",Not Applicable,"Understands the procurement policies and processes, and oneÅfs own role in procurement
?
Executes governance policies and processes for procurement in school to be compliant","Understands the procurement policies and processes, and oneÅfs own role in procurement
?
Executes governance policies and processes for procurement in school to be compliant","Understands the procurement policies and processes, and one's own role in procurement","Understands the procurement policies and processes, and one's own role in procurement","Understands the procurement policies and processes, and one's own role in procurement

Keeps track of procurement data and activity","Understands the procurement policies and processes, and one's own role in procurement

Consolidates information and inputs provided by schools to obtain information for governance and planning requirements

Executes governance policies and processes for procurement in school to be compliant

Liaises with colleagues to keep track of procurement data and activity","Understands the procurement policies and processes, and one's own role in procurement",Not Applicable
Procurement Management,Procurement Sourcing/Operations ,"Drives continuous improvement initiatives for efficiency in procurement operations

Measures and manages procurement performance and compliance to school's policies and processes

Provides advice and guidance to relevant stakeholders to meet their procurement needs and manages stakeholders' expectations with regard to procurement operations","Oversees procurement operations, processes and execution to minimise lapses and non-compliance

Identifies areas of improvement in procurement operations processes and performs root cause analysis to investigate and rectify lapses","Understands the procurement process and ensures compliance in own areas of work

Identifies and evaluates opportunities for demand aggregation

Advises stakeholders on information and documentation required for purchase requisition and approval",Not Applicable,"Identifies information and documentation required for approval of purchase requisition for ICT-related purchases and advises school stakeholders

Executes end-to-end procurement operations process according to school's policies and procedures

Understands internal procurement and finance system procedures and liaises with finance department to follow up on invoicing issues

Liaises with and manages vendors when going through procurement operations process and procedures

Performs small-value purchases","Identifies information and documentation required for approval of purchase requisition for ICT-related purchases and advises school stakeholders

Executes end-to-end procurement operations process according to school's policies and procedures

Understands internal procurement and finance system procedures and liaises with finance department to follow up on invoicing issues

Liaises with and manages vendors when going through procurement operations process and procedures

Performs small-value purchases","Identifies information and documentation required for approval of purchase requisition for workshop-related purchases and advises school stakeholders

Executes end-to-end procurement operations process according to school's policies and procedures

Liaises with and manages vendors when going through procurement operations process and procedures

Performs small-value purchases

For Senior STEM Workshop Instructors:
Reviews and proposes improvements to procurement work processes for own areas of work","Identifies information and documentation required for approval of purchase requisition for lab-related purchases and advises school stakeholders

Executes end-to-end procurement operations process according to school's policies and procedures

Liaises with and manages vendors when going through procurement operations process and procedures

Performs small-value purchases

For Senior STEM Lab Instructors:
Reviews and proposes improvements to procurement work processes for own areas of work","Administers GeBIZ-related requests and procedures across procurement life cycle

Supports relevant requests and clarifications on procurement operations system administration","Identifies information and documentation required for approval of purchase requisition and advises school stakeholders

Executes end-to-end procurement operations process according to school's policies and procedures

Understands internal procurement and finance system procedures and liaises with finance department to follow up on invoicing issues","Identifies information and documentation required for approval of purchase requisition for AV-related purchases and advises school stakeholders

Executes end-to-end procurement operations process according to school's policies and procedures

Liaises with and manages vendors when going through procurement operations process and procedures

Performs small-value purchases",Not Applicable
Human Resource Management,Contract Management,"Maintains an overview of the contract management in the school

Reviews dashboard of results to understand overall contract performance, adapts contract monitoring approaches to maximise future value for the school","Customises contract monitoring approach for each contract aligned with overall contract management strategies and oversees the contract management life cycle in accordance to contract management policies and procedures

Monitors contracts and advises school stakeholders on contractual obligations, impact from contractual delays and appropriate remedies

Anticipates contractual issues and manages contractual disagreements in consultation with relevant stakeholders and prevents disruption to the execution of contract

Manages communications on contractual obligations between suppliers and school stakeholders, escalates issues to appropriate stakeholders to resolve issues in a timely manner","Understands terms and conditions of contract to identify rights and obligations of all parties as well as scope of deliverables, and collates information required to assess provisions and deviations on contract

Monitors the delivery of service against contract",,"Assists with matters relating to vendors for ICT purposes, applies contract monitoring methods, and takes note of quality of products/ services delivered by the vendors to assess vendors' performance","Assists with matters relating to vendors for ICT purposes, applies contract monitoring methods, and takes note of quality of products/ services delivered by the vendors to assess vendors' performance","Understands terms and conditions of contract to identify rights and obligations of all parties as well as scope of deliverables, and collates information required to assess provisions and deviations on contract

Assists with matters relating to vendors, applies contract monitoring methods, and takes note of quality of products/services delivered by the vendors to assess vendors' performance","Understands terms and conditions of contract to identify rights and obligations of all parties as well as scope of deliverables, and collates information required to assess provisions and deviations on contract

Assists with matters relating to vendors, applies contract monitoring methods, and takes note of quality of products/services delivered by the vendors to assess vendors' performance","Maintains relationship with the suppliers and monitors the delivery of service against contract

Escalates contract delivery issues to relevant stakeholders to resolve

Consolidates information and data on contracts compliance and performance","Understands terms and conditions of contract to identify rights and obligations of all parties as well as scope of deliverables, and collates information required to assess provisions and deviations on contract?

Applies contract monitoring methods and collects information from contract control points to assess contract performance","Understands terms and conditions of contract to identify rights and obligations of all parties as well as scope of deliverables, and collates information required to assess provisions and deviations on contract

Assists with matters relating to vendors, applies contract monitoring methods, and takes note of quality of products/services delivered by the vendors to assess vendors' performance",Assists with matters relating to vendors and takes note of quality of products/ services delivered by the vendors to provide feedback on the vendor where necessary
,HR Administration and Operations,"Maintains an overview of HR matters in school and ensures compliance with relevant policies and regulations

Stays updated on changes or implementation of key HR policies and communicates new/enhanced HR policies to relevant officers

Serves as the touch-point to HR Group to implement HR policies in schools and provides timely feedback for policy reviews","Demonstrates good understanding of MOE's HR policies, addresses HR queries from colleagues and provides HR information to School Leaders

Understands changes and implementation of key HR policies, facilitates policy implementation when required, assists the VP(A) in providing feedback to HR Group for policy reviews

Handles personnel matters related to contracting and managing of adjunct, flex-adjunct, relief/ contract type workers",Demonstrates an understanding of MOE's HR policies when handling day-to-day HR operations (e.g. managing school attendants and OSOs),Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"Demonstrates basic understanding of MOE's HR policies and provides effective support in personnel matters

Conducts data entry for HRMS and ensures that MCs and claims are appropriately filed",Demonstrates an understanding of MOE's HR policies and provides effective support in personnel matters,Not Applicable,Not Applicable
Human Resource Management,Personnel Management,"Drives and promotes a culture for growth and development by conducting effective performance evaluations, and providing constructive feedback

Oversees HR-related matters such as induction of new officers and staff leave matters","Supervises AEs and CSOs, providing on-the-job training, reviewing job scope and tasks assignment

Provides support for HR-related matters such as induction of new officers and staff leave matters","Reviews the job scope and tasks assignment for OSOs periodically according to school's goals and needs 

Supervises school attendants and OSOs, provides on-the-job training for effective school operations

Supervises a team of OSOs in carrying out operations as well as daily cleaning and maintenance of special rooms and classrooms",Not Applicable,Trains and guides colleagues on the use of ICT tools/systems and encourages them to apply these tools/ systems at work,"Trains and guides colleagues on the use of ICT tools/systems and encourages them to apply these tools/ systems at work

Develops the capabilities of ICT Managers within the cluster/zone through training, coaching and mentoring",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Human Resource Management,Personnel Management,"Drives and promotes a culture for growth and development by conducting effective performance evaluations, and providing constructive feedback

Oversees HR-related matters such as induction of new officers and staff leave matters","Supervises AEs and CSOs, providing on-the-job training, reviewing job scope and tasks assignment

Provides support for HR-related matters such as induction of new officers and staff leave matters","Reviews the job scope and tasks assignment for OSOs periodically according to school's goals and needs 

Supervises school attendants and OSOs, provides on-the-job training for effective school operations

Supervises a team of OSOs in carrying out operations as well as daily cleaning and maintenance of special rooms and classrooms",Not Applicable,Trains and guides colleagues on the use of ICT tools/systems and encourages them to apply these tools/ systems at work,"Trains and guides colleagues on the use of ICT tools/systems and encourages them to apply these tools/ systems at work

Develops the capabilities of ICT Managers within the cluster/zone through training, coaching and mentoring",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Facility Management,Infrastructure-related Application,"Demonstrates broad knowledge of the key factors (e.g. safety aspects) to consider when designing infrastructure for school to provide advice to MOE stakeholders or project consultants

Provides advice on forecasting of medium to long term infrastructure needs for budget consideration and resource prioritisation for the school
","Demonstrates broad knowledge of the construction plan and project process to manage the scheduling of finance payments and handle other finance related areas effectively for any construction projects (applies mainly to govt-aided schools)
","Demonstrates broad knowledge of the key factors (e.g. safety aspects) to consider when designing infrastructure for school, highlighting safety issues and concerns, and provides advice to MOE stakeholders or project consultants

Provides input to MOE stakeholders and project consultants to ensure a comprehensive environmental approach to all aspects of school design, constructions, operations, and maintenance
","Follow safe work practices and risk control procedures; and report facility fault in a timely manner.

Follow workplace emergency response procedure to report WSH issues and react in different types of emergencies at the workplace.",Not Applicable,Not Applicable,"Provides input to the layout and placement of machines, tools, and equipment in the workshops/ stores (e.g. to facilitate movement of materials, usage of machine), taking into consideration work flow and relevant guidelines

Demonstrates good working knowledge of the requirement/ criteria pertaining to the placement/ installation of machines and equipment (e.g. safety distance between machines)","Provides input with regard to the storage of school laboratories' materials and equipment (e.g. storage requirements and configuration) where necessary

Ensures that the science labs comply with all safety regulations (e.g. electrical supplies, waste disposal)",Not Applicable,Not Applicable,"Provides input with regard to placement of AV equipment around the school, taking into consideration various factors that could affect the specifications of equipment required",Not Applicable
Facility Management,Schools Facilities Management Planning,"Ensures that the overall facility maintenance plan takes into consideration both short-term and future needs and is aligned with the overall school strategy 

Ensures that the facility maintenance plan is within the school's short term and long term budget, and considers other budget-related issues (e.g. insurance coverage, equipment purchases) in the planning

Provides guidance on collection of reliable data (e.g. unplanned maintenance, usage of tools) to reflect the status of the school's facilities, needs and capabilities to facilitate decision-making","Demonstrates awareness of the facility maintenance plan, the vendors and their contractual obligations to provide effective support in the area of financial management and covers the responsibilities of OMs when required ","Plans and manages the Ad Hoc Maintenance Fund and Minor Improvement Grant, assists VP(A) in forecasting financial needs pertaining to facilities management

Conducts localised facility maintenance planning and forecasting for the medium to long term (e.g. 3 years), and develops the facility maintenance and improvement roadmap (with a focus on preventive maintenance) for the school

Plans for daily operational needs (e.g. preparing for school functions, scheduling of maintenance works)",Not Applicable,"Tracks and manages the school's ICT-facility maintenance plans

Provides recommendation on school's ICT needs (e.g. types and quantity of ICT equipment required) to facilitate ICT-related facility management planning","Tracks and manages the school's ICT-facility maintenance plans

Provides recommendation on school's ICT needs (e.g. types and quantity of ICT equipment required) to facilitate ICT-related facility management planning","Demonstrates awareness of the facility maintenance plan to provide effective support when required and reports any fault in facilities in a timely manner

Keeps abreast with new models of tools, equipment and machines essential for D&T programme and provides recommendation for replacement where necessary","Demonstrates awareness of the facility maintenance plan to provide effective support when required and reports any fault in facilities in a timely manner

Keeps abreast with new models of tools, equipment and machines essential for D&T programme and provides recommendation for replacement where necessary",Demonstrates awareness of the facility maintenance plan to provide effective support when required and reports any fault in facilities in a timely manner,Demonstrates awareness of the facility maintenance plan to provide effective support when required and reports any fault in facilities in a timely manner,"Demonstrates awareness of the facility maintenance plan to provide effective support when required and reports any fault in facilities in a timely manner

Keeps abreast with new developments and provides recommendation of new AV equipment that will meet school's long term needs",Demonstrates awareness of the facility maintenance plan to provide effective support when required and reports any fault in facilities in a timely manner
Facility Management,Facilities Management Operations,"Oversees the facility management operations and incorporates best practices to ensure safety and that a good learning environment is created for students

Reviews the performance of facility management regularly and identifies areas of improvement

Demonstrates knowledge of the roles and functions of the various external authorities (e.g. PUB, LTA, Town Council) that work with the school's facility management team

Manages canteen operations and store tenants to ensure smooth operations, hygiene standards, food safety and quality and compliance with regulations and standards",Not Applicable,"Manages physical/technological infrastructure improvement and facilities maintenance works, liaising with relevant stakeholders (e.g. School Campus Department, MOE HQ) when required

Submits proposals for improvement/ conversion works and ensures proper clearance before implementation of work

Schedules and facilitates various facilities management inspections and checks (e.g. pest control services, yearly building technical audit, food and beverage hygiene audit, BCAÅfs 5-Year periodic structural inspections)

Updates school layout plans upon any changes arising from conversion and improvement works

Documents building plans, operations and maintenance manuals, warranties, and maintains a register on key infrastructure assets",Not Applicable,"Conducts regular and timely ""spot checks"" in maintaining and updating tracking records of the school's ICT assets","Conducts regular and timely ""spot checks"" in maintaining and updating tracking records of the school's ICT assets","Keeps track of tools, equipment and machines in the workshops, and ensures that they are properly stored/installed and accounted for

Ensures that all tools, equipment and machines are in good working conditions, performs routine basic maintenance of tools, equipment and machines, and calls for maintenance/ repair services when required

Maintains cleanliness and tidiness of the workshops and storage areas, ensuring that machines are cleaned regularly","Keeps track of the materials and equipment in the laboratories and ensures that they are properly stored and accounted for

Ensures that equipment in the laboratories are in good working condition and schedules their servicing and repairs where required

Ensures that the labs are adequately stocked with the required equipment and consumables for daily and assessment usage",Not Applicable,Not Applicable,"Keeps track of conditions of AV equipment to ensure that all are in good working condition; understands different types of maintenance work (e.g. predictive, preventive, routine and emergency)

Performs minor servicing of AV equipment where required","Performs operational duties such as opening and closing of school gates, general maintenance of school facilities, and upholding the cleanliness of the school

Assists in monitoring condition of school facilities and equipment, reports faults and equipment for servicing/repair to appropriate personnel or using appropriate platforms (e.g. FM mobile application) where required

Assists in escorting vendors/ contractors and ensures that repair/ rectification works are completed in a safe and satisfactory manner

Ensures that housekeeping/laboratory/ workshop stores/supplies are well stocked; uses appropriate IT systems to track and update store/laboratory inventory

Assists HODs and SLT in basic planning/preparation of logistics for science department events and activities

Supports in liaising and/or supervising vendors/contractors to carry out facility maintenance work in a timely and satisfactory manner, minimising disruption to school operations"
